day,avg_energy,temperatureMax,humidity,windSpeed,weather_cluster,holiday_ind,year,month
2011-11-23,6.952692315384615,10.36,0.93,2.04,0,0,2011,11
2011-11-24,8.536479995999999,12.93,0.89,4.04,2,0,2011,11
2011-11-25,9.499781246875001,13.03,0.79,5.02,2,0,2011,11
2011-11-26,10.267707309756098,12.96,0.81,5.75,2,0,2011,11
2011-11-27,10.850804892682927,13.54,0.72,5.48,2,0,2011,11
2011-11-28,9.103381814545456,12.58,0.86,2.34,2,0,2011,11
2011-11-29,9.274873023809523,13.47,0.82,6.48,2,0,2011,11
2011-11-30,8.813513157894738,11.87,0.78,4.43,2,0,2011,11
2011-12-01,9.227706527173913,12.15,0.82,2.57,2,0,2011,12
2011-12-02,10.145910005000001,8.07,0.87,3.0,0,0,2011,12
2011-12-03,10.78027272909091,11.42,0.79,5.42,2,0,2011,12
2011-12-04,12.163127274545456,9.11,0.82,4.31,0,0,2011,12
2011-12-05,10.60971428888889,6.87,0.77,5.57,0,0,2011,12
2011-12-06,11.673416666666666,6.91,0.83,4.79,0,0,2011,12
2011-12-07,10.889361845394737,9.02,0.68,7.06,0,0,2011,12
2011-12-08,11.525149698802396,12.89,0.81,7.01,2,0,2011,12
2011-12-09,11.759836954891304,7.68,0.71,5.65,0,0,2011,12
2011-12-10,12.633800992537314,6.08,0.81,3.08,0,0,2011,12
2011-12-11,13.749174137313434,8.59,0.88,3.94,0,0,2011,12
2011-12-12,11.951958332407408,9.82,0.84,5.02,0,0,2011,12
2011-12-13,11.957446429464285,12.08,0.75,7.44,2,0,2011,12
2011-12-14,12.392775862931034,5.92,0.79,4.48,1,0,2011,12
2011-12-15,12.307079370634922,7.97,0.77,4.71,0,0,2011,12
2011-12-16,13.376080141603055,4.68,0.88,3.71,1,0,2011,12
2011-12-17,13.511967853928573,5.35,0.86,3.99,1,0,2011,12
2011-12-18,14.732271427499999,5.49,0.84,3.6,1,0,2011,12
2011-12-19,13.774470971612905,6.64,0.94,2.7,0,0,2011,12
2011-12-20,12.709106376291793,8.26,0.81,4.25,0,0,2011,12
2011-12-21,12.148570198567334,12.14,0.94,2.9,2,0,2011,12
2011-12-22,11.839403265940055,12.14,0.87,4.31,2,0,2011,12
2011-12-23,12.254989421428572,11.44,0.85,4.85,2,0,2011,12
2011-12-24,13.06531745899471,8.22,0.8,4.46,0,0,2011,12
2011-12-25,12.949428567460318,11.98,0.83,5.81,2,0,2011,12
2011-12-26,11.065576721957672,12.91,0.84,5.44,2,0,2011,12
2011-12-27,11.494944444444444,10.33,0.74,3.54,0,0,2011,12
2011-12-28,11.790656326614988,11.19,0.77,6.02,2,0,2011,12
2011-12-29,12.144920396268656,9.58,0.76,6.83,2,0,2011,12
2011-12-30,12.40420924890511,10.27,0.84,3.71,0,0,2011,12
2011-12-31,12.436021895133822,12.57,0.89,5.46,2,0,2011,12
2012-01-01,12.46626520510949,12.59,0.9,4.92,2,0,2012,1
2012-01-02,12.754744524330901,7.57,0.81,4.81,0,0,2012,1
2012-01-03,12.74404545382775,12.41,0.82,8.47,2,0,2012,1
2012-01-04,12.741140477142856,9.33,0.78,7.98,2,0,2012,1
2012-01-05,12.848078384560571,11.46,0.7,9.49,2,0,2012,1
2012-01-06,12.719621752245862,9.18,0.78,3.93,0,0,2012,1
2012-01-07,12.76545991226415,10.34,0.72,5.65,2,0,2012,1
2012-01-08,13.395569735933806,9.62,0.75,3.56,0,0,2012,1
2012-01-09,12.449049410117647,12.33,0.84,4.05,2,0,2012,1
2012-01-10,11.976153838694637,11.29,0.87,3.76,2,0,2012,1
2012-01-11,11.981207460606061,11.19,0.84,3.98,2,0,2012,1
2012-01-12,12.056824884331798,12.4,0.81,4.35,2,0,2012,1
2012-01-13,12.52275687591743,6.41,0.83,1.61,0,0,2012,1
2012-01-14,13.496298406833713,6.01,0.86,0.99,1,0,2012,1
2012-01-15,14.03721639476082,6.27,0.78,3.03,0,0,2012,1
2012-01-16,13.04780760738255,6.56,0.74,2.45,0,0,2012,1
2012-01-17,13.2670712688196,5.79,0.83,1.43,1,0,2012,1
2012-01-18,12.789209252863436,11.92,0.93,4.2,2,0,2012,1
2012-01-19,12.274760772413794,11.51,0.85,5.23,2,0,2012,1
2012-01-20,12.783027081041666,10.05,0.78,6.18,2,0,2012,1
2012-01-21,12.735594320283976,12.35,0.75,7.17,2,0,2012,1
2012-01-22,13.720799185598377,11.8,0.68,5.93,2,0,2012,1
2012-01-23,12.614123767583497,8.4,0.78,3.89,0,0,2012,1
2012-01-24,12.872251937403101,9.77,0.95,2.13,0,0,2012,1
2012-01-25,12.553495261290324,9.76,0.9,3.56,0,0,2012,1
2012-01-26,12.372054406191369,9.54,0.8,4.51,0,0,2012,1
2012-01-27,12.471985347435897,8.68,0.78,3.33,0,0,2012,1
2012-01-28,13.367956680685921,6.46,0.86,2.56,0,0,2012,1
2012-01-29,14.127586637184116,4.5,0.89,1.62,1,0,2012,1
2012-01-30,13.451978834391536,3.98,0.79,1.54,1,0,2012,1
2012-01-31,13.890518073666094,2.13,0.84,2.36,1,0,2012,1
2012-02-01,13.814964403220339,3.36,0.67,5.45,1,1,2012,2
2012-02-02,14.368799337335526,1.41,0.59,4.71,1,0,2012,2
2012-02-03,14.521274318660286,1.54,0.67,2.2,1,0,2012,2
2012-02-04,15.154135638643535,0.79,0.8,2.13,1,0,2012,2
2012-02-05,15.940238171924289,1.81,0.96,0.93,1,0,2012,2
2012-02-06,14.046691603053436,4.08,0.92,0.56,1,0,2012,2
2012-02-07,13.882766122638682,2.63,0.75,2.66,1,0,2012,2
2012-02-08,15.197053412611275,0.73,0.78,3.92,1,0,2012,2
2012-02-09,14.402453743465491,1.79,0.81,0.84,1,0,2012,2
2012-02-10,14.607209765229886,1.21,0.81,2.13,1,0,2012,2
2012-02-11,14.873677149571428,1.93,0.78,0.92,1,0,2012,2
